NOC,Sport,Medal_Increase_With_Coach
DEN,Athletics,4.362358498947365
DEN,Boxing,9.38854327215805
DEN,Cycling,9.38854327215805
DEN,Diving,10.699721908647792
DEN,Fencing,5.455007362688817
DEN,Football,9.60707304490634
DEN,Gymnastics,2.1770607714644568
DEN,Hockey,9.38854327215805
DEN,Modern Pentathlon,11.136781454144375
DEN,Rowing,11.792370772389246
DEN,Tennis,10.481192135899501
DEN,Weightlifting,10.918251681396082
DEN,Wrestling,9.82560281765463
EGY,Athletics,11.136781454144375
EGY,Fencing,11.573840999640957
EGY,Football,9.60707304490634
EGY,Gymnastics,11.573840999640957
EGY,Weightlifting,11.792370772389246
EGY,Wrestling,11.573840999640955
ESP,Athletics,6.7661859991785605
ESP,Football,8.077364635668305
ESP,Polo,10.918251681396082
ESP,Shooting,2.1770607714644576
ESP,Swimming,11.355311226892665
ESP,Tennis,10.262662363151211
ESP,Water Polo,10.262662363151211
EST,Athletics,9.170013499409759
EST,Weightlifting,11.355311226892665
EST,Wrestling,11.136781454144375
FIN,Athletics,0.2102928167298419
FIN,Diving,11.136781454144375
FIN,Equestrianism,11.792370772389246
FIN,Figure Skating,11.355311226892665
FIN,Modern Pentathlon,11.573840999640957
FIN,Shooting,0.8658821349747132
FIN,Swimming,11.573840999640955
FIN,Weightlifting,11.792370772389246
FIN,Wrestling,8.077364635668305
FRA,Archery,6.11059668093369
FRA,Art Competitions,11.792370772389246
FRA,Boxing,8.732953953913176
FRA,Cycling,7.421775317423432
FRA,Diving,11.792370772389246
FRA,Equestrianism,5.455007362688817
FRA,Fencing,3.7067691807024925
FRA,Figure Skating,11.573840999640957
FRA,Football,9.60707304490634
FRA,Gymnastics,5.017947817192236
FRA,Hockey,9.60707304490634
FRA,Ice Hockey,10.481192135899501
FRA,Modern Pentathlon,11.136781454144375
FRA,Rowing,8.951483726661468
